扯	che3	手 shŏu; 止 zhĭ
租	zu1	禾 hé; 且 qiĕ jū
足	zu2 ju4	口 kŏu; 止 zhĭ
卒	zu2 cu4	衣 yī yì yĭ
族	zu2	於 wū yū yú; 矢 shĭ
诅	zu3	言 yán; 且 qiĕ jū
阻	zu3	阜 fù; 且 qiĕ jū
组	zu3	糸 mì; 且 qiĕ jū
祖	zu3	示 shì; 且 qiĕ jū
钻	zuan4 zuan1	金 jīn; 占 zhàn zhān
嘴	zui3	口 kŏu; 此 cĭ; 角 jiăo jué jiă
最	zui4	日 rì; 取 qŭ
罪	zui4	网 wăng; 非 fēi
醉	zui4	酉 yŏu; 卒 zú cù
尊	zun1	酋 qiú; 寸 cùn
遵	zun1	辶 chuò; 尊 zūn
昨	zuo2	日 rì; 乍 zhà
左	zuo3	又 yòu; 工 gōng
作	zuo4 zuo1 zuo2	人 rén; 乍 zhà
坐	zuo4	人 rén; 土 tŭ
座	zuo4	广 guăng ān; 坐 zuò
做	zuo4	人 rén; 故 gù
